,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
77,77,Laguna De Perlas,NI,12.3429,-83.6712,75.29,95,100,14.03,overcast clouds,Hotel Best View
81,81,Gasa,PS,31.5,34.4667,73.4,58,0,7.67,clear sky,رابطة الفنانين الفلسطينيين
82,82,Atuona,PF,-9.8,-139.0333,77.13,71,10,17.69,clear sky,Villa Enata
86,86,Goundam,ML,16.4145,-3.6708,85.37,48,14,15.77,few clouds,
87,87,La Palma,US,33.8464,-118.0467,82.94,76,0,8.05,clear sky,La Quinta Inn & Suites by Wyndham Buena Park
89,89,Abu Dhabi,AE,24.4667,54.3667,78.82,36,0,3.44,clear sky,Beach Rotana
90,90,Ishigaki,JP,24.3448,124.1572,84.33,74,20,14.97,few clouds,Hotel Peace Land Ishigakijima
92,92,Victoria Point,AU,-27.5833,153.3,75.43,89,100,4.0,overcast clouds,Bay Retreat Motel
96,96,Tura,IN,25.5198,90.2201,75.83,94,34,3.11,scattered clouds,Hotel RIKMAN Continental
97,97,Vila Velha,BR,-20.3297,-40.2925,75.15,88,100,2.3,moderate rain,Hotel Vitória Palace
100,100,Guerrero Negro,MX,27.9769,-114.0611,71.92,79,0,12.06,clear sky,"Casa Laguna, Bed & Breakfast"
101,101,Pundaguitan,PH,6.3711,126.1689,83.19,72,45,2.86,scattered clouds,Leonardo Family Beach House 1
102,102,Thinadhoo,MV,0.5333,72.9333,80.73,78,23,12.5,few clouds,
103,103,Makakilo City,US,21.3469,-158.0858,82.72,65,0,9.22,clear sky,Marriott's Ko Olina Beach Club
106,106,Samarai,PG,-10.6167,150.6667,83.93,73,31,11.5,scattered clouds,Nuli Sapi
108,108,Mahebourg,MU,-20.4081,57.7,70.09,73,40,8.05,scattered clouds,Shandrani Beachcomber Resort & Spa
111,111,Vila Franca Do Campo,PT,37.7167,-25.4333,70.21,91,67,5.14,broken clouds,Pestana Bahia Praia
112,112,Darnah,LY,32.767,22.6367,70.43,61,24,15.95,few clouds,فندق الفردوس
114,114,Ribeira Grande,PT,38.5167,-28.7,71.4,88,50,9.84,scattered clouds,Quinta da Meia Eira
116,116,Nanakuli,US,21.3906,-158.1547,84.15,65,0,8.05,clear sky,Camp Pālehua
121,121,Buchanan,LR,5.8808,-10.0467,76.21,90,100,4.85,moderate rain,Kamaneahn Hotel Inc
122,122,Harindanga,IN,22.0383,88.3214,83.91,77,70,5.17,broken clouds,Hasanur Builders
124,124,San Patricio,US,28.017,-97.5169,80.55,56,100,7.9,overcast clouds,"Motel 6 Sinton, TX"
125,125,Isangel,VU,-19.55,169.2667,86.11,74,75,9.22,broken clouds,Tanna Lodge
129,129,Kirakira,SB,-10.4544,161.9205,83.93,74,35,9.82,scattered clouds,SanBiz Lodge
131,131,Katsuura,JP,35.1333,140.3,72.54,60,99,17.38,overcast clouds,Katsuura Hotel Mikazuki
132,132,Sao Joao Da Barra,BR,-21.6403,-41.0511,72.36,90,100,3.22,overcast clouds,Pousada Porto De Canoas
137,137,Adre,TD,13.4667,22.2,77.14,67,95,2.39,overcast clouds,
142,142,Kismayo,SO,-0.3582,42.5454,76.05,84,42,12.37,scattered clouds,Agan-Hotel
146,146,Port Moresby,PG,-9.4431,147.1797,87.22,70,40,11.5,haze,Lamana Hotel (Port Moresby)
147,147,Kavaratti,IN,10.5669,72.642,81.27,74,10,8.1,clear sky,Green leaf
154,154,Matli,PK,25.0431,68.6557,80.42,30,7,7.83,clear sky,Khatti House
159,159,Marsh Harbour,BS,26.5412,-77.0636,82.2,73,12,12.48,few clouds,Abaco Beach Resort
160,160,Airai,TL,-8.9266,125.4092,76.93,48,48,4.14,scattered clouds,
162,162,Labuan,MY,5.2767,115.2417,79.16,94,40,5.75,scattered clouds,Tiara Labuan Hotel
163,163,Santa Cruz Del Sur,CU,20.7147,-77.9956,79.47,83,35,13.35,scattered clouds,
165,165,Hithadhoo,MV,-0.6,73.0833,80.8,76,14,11.86,few clouds,Scoop Guest House
168,168,Uvalde,US,29.3669,-99.767,76.32,39,0,4.61,clear sky,
169,169,Vao,NC,-22.6667,167.4833,73.26,82,0,21.59,clear sky,Hotel Kou-Bugny
170,170,Waingapu,ID,-9.6567,120.2641,88.02,62,37,13.11,scattered clouds,Pondok Wisata Elim
172,172,Mabaruma,GY,8.2,-59.7833,76.75,90,98,4.29,overcast clouds,Monty Brooms Guest House
177,177,Carnarvon,AU,-24.8667,113.6333,71.51,51,51,17.69,broken clouds,Hospitality Carnarvon
180,180,San Felipe,VE,10.3399,-68.7425,73.6,98,100,1.32,overcast clouds,Posada Llovizna Rodríguez
182,182,Loandjili,CG,-4.7561,11.8578,78.91,83,75,8.05,broken clouds,Résidence ARCHANGE
184,184,Neiafu,TO,-18.65,-173.9833,77.68,83,75,14.97,broken clouds,Mystic Sands Beachfront Accommodation
185,185,Hambantota,LK,6.1241,81.1185,80.94,78,20,3.44,few clouds,Bungalow 63
187,187,Kavieng,PG,-2.5744,150.7967,84.47,67,88,13.98,overcast clouds,Nusa Island Retreat
