,Unnamed: 0,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Hotel Name
622,622,Hobyo,SO,5.3505,48.5268,76.86,84,66,17.29,broken clouds,Halane Hotel and Restaurent
624,624,Acajutla,SV,13.5928,-89.8275,80.44,71,99,7.72,overcast clouds,CASA DE LA PERRA
625,625,Boke,GN,10.9409,-14.2967,73.58,97,100,3.02,overcast clouds,Hôtel Rio Nunez - Boké
628,628,Bikaner,IN,28.0167,73.3,77.58,72,1,7.94,clear sky,The Laxmi Niwas Palace
629,629,Ipixuna,BR,-1.7625,-48.8043,76.12,87,4,4.09,clear sky,Chalé do Mato
630,630,Coronel Bogado,PY,-27.1833,-56.3,72.09,78,24,15.82,few clouds,Ganaderia ATASA
633,633,Daltenganj,IN,24.0333,84.0667,80.55,74,12,3.2,few clouds,Hotel Galaxy Inn
635,635,Tripoli,LY,32.8752,13.1875,71.55,73,0,7.49,clear sky,Al Waddan Hotel
637,637,Arawa,PG,-6.2132,155.5367,86.97,52,31,6.44,scattered clouds,Coastline Guest House
640,640,Sibu,MY,2.3,111.8167,79.11,88,40,2.3,scattered clouds,RH HOTEL (4 Star)
642,642,Soyo,AO,-6.1349,12.3689,75.2,87,21,4.99,few clouds,Hospedaria ndozi'ame
652,652,Sanchi,IN,23.4833,77.7333,76.32,85,100,10.31,overcast clouds,Mahabodhi Society of Sri Lanka
653,653,Tanete,ID,-3.9443,119.7848,87.67,62,100,9.46,overcast clouds,Wisma Tri Multi
654,654,Ribeira Brava,PT,32.65,-17.0667,70.43,75,34,4.34,scattered clouds,Hotel do Campo
655,655,Port Blair,IN,11.6667,92.75,82.44,83,75,5.75,broken clouds,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
657,657,Sorong,ID,-0.8833,131.25,83.73,72,72,4.85,broken clouds,Waigo Splash Hotel
659,659,Eirunepe,BR,-6.6603,-69.8736,74.59,84,56,1.14,broken clouds,Hotel novo Acre & Comercial Aguiar
660,660,Sao Jose Da Coroa Grande,BR,-8.8978,-35.1478,76.14,87,55,8.81,broken clouds,Crôa Mares Hotel
662,662,Affery,CI,6.315,-3.9603,71.38,100,92,1.9,overcast clouds,Hôtel l'auberge grenobloise
666,666,Marabba,SD,12.35,32.1833,75.51,79,98,11.63,overcast clouds,
667,667,Biak,ID,-0.9131,122.8766,82.87,72,90,3.27,overcast clouds,Penginapan Kim
669,669,Aswan,EG,24.0934,32.907,74.05,39,0,13.67,clear sky,Nuba Nile
