City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
98,Mayo,US,2022-10-04 04:10:29,38.8876,-76.5119,49.12,94,100,5.01
99,Kruisfontein,ZA,2022-10-04 04:00:50,-34.0033,24.7314,54.88,79,61,9.17
100,Mbeya,TZ,2022-10-04 04:10:29,-8.9,33.45,54.95,65,31,5.32
101,Paamiut,GL,2022-10-04 04:03:22,61.994,-49.6678,36.14,62,32,4.68
102,Chapais,CA,2022-10-04 04:10:30,49.7834,-74.8492,43.43,78,93,7.09
103,Saquarema,BR,2022-10-04 04:10:30,-22.92,-42.5103,67.17,90,100,4.32
104,Tacna,PE,2022-10-04 04:10:30,-18.0056,-70.2483,52.7,86,38,2.08
105,Longyearbyen,SJ,2022-10-04 04:08:39,78.2186,15.6401,36.82,92,100,3.76
106,Fort Nelson,CA,2022-10-04 04:10:31,58.8053,-122.7002,47.55,51,60,1.54
107,Northam,GB,2022-10-04 04:08:09,51.0333,-4.2167,57.25,93,70,14.0
108,Amursk,RU,2022-10-04 04:10:32,50.2261,136.8994,39.25,62,100,11.39
109,Jiblah,YE,2022-10-04 04:10:32,13.9216,44.1467,63.03,53,31,4.12
110,Dingle,PH,2022-10-04 04:10:32,10.9995,122.6711,86.67,71,100,7.23
111,Guerrero Negro,MX,2022-10-04 04:02:12,27.9769,-114.0611,69.58,80,75,16.22
112,Marsh Harbour,BS,2022-10-04 04:10:33,26.5412,-77.0636,80.44,68,100,11.65
113,Jalu,LY,2022-10-04 04:02:08,29.0331,21.5482,68.67,73,0,8.48
114,Hobyo,SO,2022-10-04 04:10:33,5.3505,48.5268,77.61,82,41,15.77
115,Kodiak,US,2022-10-04 04:10:34,57.79,-152.4072,51.31,82,100,13.8
116,Hambantota,LK,2022-10-04 04:10:34,6.1241,81.1185,84.85,64,100,20.58
117,Arraial Do Cabo,BR,2022-10-04 04:07:19,-22.9661,-42.0278,67.62,86,100,3.2
118,Vestmannaeyjar,IS,2022-10-04 04:09:02,63.4427,-20.2734,49.21,82,100,16.02
119,Narsaq,GL,2022-10-04 04:08:46,60.9167,-46.05,34.02,51,0,6.22
120,Vila Velha,BR,2022-10-04 04:10:35,-20.3297,-40.2925,73.35,95,100,2.3
121,Deputatskiy,RU,2022-10-04 04:03:49,69.3,139.9,14.56,93,49,2.84
122,Kinablangan,PH,2022-10-04 04:10:35,7.6947,126.5503,78.91,86,100,1.48
123,Tasiilaq,GL,2022-10-04 04:10:36,65.6145,-37.6368,37.56,97,100,7.09
124,Walvis Bay,NA,2022-10-04 04:10:36,-22.9575,14.5053,56.08,94,2,4.45
125,Grenada,ES,2022-10-04 04:05:48,37.1882,-3.6067,64.67,56,0,0.0
126,Papara,BR,2022-10-04 04:10:37,-3.9839,-38.7273,77.68,91,62,4.47
127,Makakilo City,US,2022-10-04 04:10:37,21.3469,-158.0858,79.12,65,20,14.97
128,San Cristobal,VE,2022-10-04 04:10:38,7.7669,-72.225,71.78,89,49,2.24
129,Bethel,US,2022-10-04 04:01:01,41.3712,-73.414,49.55,75,100,5.99
130,Dunedin,NZ,2022-10-04 04:07:35,-45.8742,170.5036,49.66,80,98,15.08
131,Broome,US,2022-10-04 04:00:59,42.2506,-75.833,48.67,77,100,1.99
132,Avarua,CK,2022-10-04 04:10:38,-21.2078,-159.775,77.05,78,40,21.85
133,Luderitz,NA,2022-10-04 04:02:13,-26.6481,15.1594,55.24,81,0,18.72
134,Sisimiut,GL,2022-10-04 04:06:18,66.9395,-53.6735,32.05,81,100,7.47
135,Codrington,AU,2022-10-04 04:06:56,-38.2667,141.9667,54.3,74,100,17.65
136,Samana,DO,2022-10-04 04:11:40,19.2056,-69.3369,77.18,92,99,3.67
137,Puerto Carreno,CO,2022-10-04 04:11:40,6.189,-67.4859,75.4,93,100,4.21
138,Molchanovo,RU,2022-10-04 04:11:40,57.5817,83.7692,39.27,55,83,6.06
139,Westport,US,2022-10-04 04:10:17,41.1415,-73.3579,51.35,80,100,17.27
140,Minuri,PH,2022-10-04 04:11:41,16.535,121.8574,84.56,78,94,2.86
141,Fortuna,US,2022-10-04 04:11:41,40.5982,-124.1573,58.66,81,27,4.16
142,Perth,AU,2022-10-04 04:08:33,-31.9333,115.8333,76.01,37,0,13.8
143,Togur,RU,2022-10-04 04:11:42,58.3631,82.8265,38.17,59,81,9.66
144,Pangkalanbuun,ID,2022-10-04 04:11:42,-2.6833,111.6167,86.54,65,86,3.71
145,Coralville,US,2022-10-04 04:11:43,41.6764,-91.5805,59.41,67,0,0.0
146,Coquimbo,CL,2022-10-04 04:06:59,-29.9533,-71.3436,55.13,82,100,5.75
147,Maxixe,MZ,2022-10-04 04:08:42,-23.8597,35.3472,75.02,88,40,6.91
148,Mustafakemalpasa,TR,2022-10-04 04:11:43,40.0353,28.4117,62.65,73,50,2.3
149,Victoria,HK,2022-10-04 04:08:10,22.2855,114.1577,90.25,73,2,5.99
150,Chokurdakh,RU,2022-10-04 04:11:44,70.6333,147.9167,26.76,77,98,3.29
151,Antofagasta,CL,2022-10-04 04:03:14,-23.65,-70.4,55.2,82,21,3.31
152,Zhangye,CN,2022-10-04 04:11:44,38.9342,100.4517,60.19,31,1,6.06
153,Mandali,IQ,2022-10-04 04:11:45,33.7499,45.5541,82.45,14,0,4.23
154,Xining,CN,2022-10-04 04:11:45,36.6167,101.7667,51.37,40,76,1.1
155,Port-Gentil,GA,2022-10-04 04:11:46,-0.7193,8.7815,77.18,83,100,9.8
156,Yumen,CN,2022-10-04 04:11:46,40.2833,97.2,50.94,33,0,21.81
157,Darhan,MN,2022-10-04 04:09:39,49.4867,105.9228,38.98,30,7,3.58
158,Konigs Wusterhausen,DE,2022-10-04 04:11:47,52.3014,13.633,56.28,92,20,8.05
159,Saint George,US,2022-10-04 04:08:40,37.1041,-113.5841,72.95,45,0,3.0
160,Pisco,PE,2022-10-04 04:02:10,-13.7,-76.2167,59.02,84,11,3.0
161,Tiksi,RU,2022-10-04 04:08:02,71.6872,128.8694,21.65,86,79,11.74
162,Mikhaylovka,RU,2022-10-04 04:11:47,50.06,43.2379,49.69,68,93,7.09
163,Tual,ID,2022-10-04 04:02:12,-5.6667,132.75,82.56,76,77,5.84
164,Dikson,RU,2022-10-04 04:11:48,73.5069,80.5464,31.82,99,100,5.12
165,Pareora,NZ,2022-10-04 04:11:48,-44.4871,171.2132,55.18,89,100,8.5
166,Yaguachi,EC,2022-10-04 04:11:49,-2.1167,-79.6833,69.96,79,87,7.56
167,Marsa Matruh,EG,2022-10-04 04:11:49,31.3525,27.2453,74.03,62,0,9.73
168,Lompoc,US,2022-10-04 04:11:49,34.6391,-120.4579,62.02,91,0,9.22
169,Svetlogorsk,BY,2022-10-04 04:11:50,52.6333,29.7333,41.04,97,100,9.51
170,Lorengau,PG,2022-10-04 04:03:32,-2.0226,147.2712,86.2,67,57,10.6
171,Labuhan,ID,2022-10-04 04:11:50,-6.8844,112.2051,86.83,60,88,2.08
172,Asyut,EG,2022-10-04 04:11:51,27.181,31.1837,72.16,53,0,7.45
173,Talnakh,RU,2022-10-04 04:02:12,69.4865,88.3972,33.21,93,100,22.55
174,Rio Cuarto,AR,2022-10-04 04:11:51,-33.1307,-64.3499,63.48,47,0,12.66
175,Tucupita,VE,2022-10-04 04:11:52,9.0622,-62.051,73.17,97,95,2.8
176,Loiza,PR,2022-10-04 04:11:52,18.4313,-65.8802,81.07,82,20,0.0
177,Vila Franca Do Campo,PT,2022-10-04 04:11:52,37.7167,-25.4333,73.2,93,44,9.55
178,Hofn,IS,2022-10-04 04:11:53,64.2539,-15.2082,47.88,84,100,23.06
